번호,학년/가진급학년,교과과정,교과영역구분,학수강좌번호,교과목명,교원명,수업캠퍼스,요일/시간,강의실,학점,이론,실습,공학설계,강의계획서,교과목해설,강의유형,강의종류,혁신교과목구분,원어강의,강평결과,이수구분,강의미리보기,개설대학,개설학과/전공,집중이수학기구분,비고,교과목영문명,
986,2학년,전공,기초,ADV2009-01,PR문장론1,윤성훈,서울,"화2.5-3.5/10:30-12:00,목2.5-3.5/10:30-12:00","102-211(학술/문화관 K211 (K) 공용컴퓨터실),102-211(학술/문화관 K211 (K) 공용컴퓨터실)",3,3,0,,더블클릭,더블클릭,이론,일반강의,,,,전공,,사회과학대학,사회과학대학 광고홍보학과,,수강인원제한: 49명,Public Relations writing strategies 1,
987,"1,2학년",전공,기초,ADV2016-01,공익캠페인,최유진,서울,"월7.0-8.0/15:00-16:30,수7.0-8.0/15:00-16:30","202-374(사회과학/경영관 L301 강의실),202-374(사회과학/경영관 L301 강의실)",3,3,0,,더블클릭,더블클릭,이론,외국어강의,,영어,,전공,,사회과학대학,사회과학대학 광고홍보학과,,수강인원제한: 60명/영어강의,Korean Public Communication Campaign,
988,"1,2학년",전공,기초,ADV2018-01,광고학개론,최영균,서울,"월5.5-6.5/13:30-15:00,수5.5-6.5/13:30-15:00","201-122(사회과학/경영관 M122 강의실),201-122(사회과학/경영관 M122 강의실)",3,3,0,,더블클릭,더블클릭,이론,일반강의,,,,전공,,사회과학대학,사회과학대학 광고홍보학과,,수강인원제한: 80명,Introduction to Advertising,
989,"1,2학년",전공,기초,ADV2019-01,프로젝트기반광고연습,김효규,서울,"화2.5-3.5/10:30-12:00,목2.5-3.5/10:30-12:00","102-445(학술/문화관 K445 445 강의실),102-445(학술/문화관 K445 445 강의실)",3,3,0,,더블클릭,더블클릭,이론,일반강의,,,,전공,,사회과학대학,사회과학대학 광고홍보학과,,수강인원제한: 30명,Project Based AdvertisingPractice,
990,1학년,전공,기초,AIB2001-01,인공지능기초수학,박성식,서울,"월2.5-3.5/10:30-12:00,수2.5-3.5/10:30-12:00","407-227(정보문화관P P405 강의실),407-227(정보문화관P P405 강의실)",3,3,0,,더블클릭,더블클릭,이론,일반강의, 플립드러닝,,,전공,,AI융합대학,AI융합대학 AI융합대,,"AI융합학부 및 AI소프트웨어융합학부 수강불가, 수강정원 30명, 혁신교수법(플립드러닝)",Fundamental Mathematics for Artificial Intelligence,
991,1학년,전공,기초,AIC2003-01,데이터사이언스개론,이우진,서울,"수5.0-6.0/13:00-14:30,목2.5-3.5/10:30-12:00","407-224(정보문화관P P403 컴퓨터실습실2),407-224(정보문화관P P403 컴퓨터실습실2)",3,3,0,,더블클릭,더블클릭,이론,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,수강정원 48명,Introduction to Data Science,
992,2학년,전공,기초,AIC2010-01,수치해석및최적화,이우진,서울,"화7.0-8.0/15:00-16:30,목7.0-8.0/15:00-16:30","407-224(정보문화관P P403 컴퓨터실습실2),407-224(정보문화관P P403 컴퓨터실습실2)",3,3,0,,더블클릭,더블클릭,이론,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,수강정원 40명,Numerical analysis and optimization,
993,1학년,전공,기초,AIC2011-01,AI콘텐츠융합개론,조경은,서울,금2.0-4.5/10:00-13:00,407-207(정보문화관P P402 컴퓨터실습실1),3,3,0,,더블클릭,더블클릭,이론,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,"팀티칭, 수강정원 40명",Introduction to AI Contents Convergence,
994,2학년,전공,기초,AID2001-01,통계이론1,김광일,서울,"월9.0-10.0/17:00-18:25,수9.0-10.0/17:00-18:25","407-227(정보문화관P P405 강의실),407-227(정보문화관P P405 강의실)",3,3,0,,더블클릭,더블클릭,이론,일반강의,,,,전공,,AI융합대학,AI융합대학 AI소프트웨어융합학부 데이터사이언스전공,,수강정원 30명,Theory of Statistics 1,
995,2학년,전공,기초,AIE2001-01,메타버스프로그래밍,황주선,서울,금9.0-12.5/17:00-20:30,407-207(정보문화관P P402 컴퓨터실습실1),3,2,2,,더블클릭,더블클릭,이론+실습,외국어강의,,영어,,전공,,AI융합대학,AI융합대학 AI소프트웨어융합학부 엔터테인먼트테크놀로지전공,,"영어강의, 수강정원 30명",Metaverse Programming,
996,1학년,전공,기초,AIE2006-01,메타버스콘텐츠디자인,이영숙,서울,금6.0-8.5/14:00-17:00,407-207(정보문화관P P402 컴퓨터실습실1),3,3,0,,,더블클릭,이론,일반강의,,,,전공,,AI융합대학,AI융합대학 AI소프트웨어융합학부 엔터테인먼트테크놀로지전공,,"팀티칭, 수강정원 20명",Metaverse Contetns Design,
997,"1,2학년",전공,기초,ARC2015-01,재료역학,박관순,서울,"월5.5-6.5/13:30-15:00,수5.5-6.5/13:30-15:00","405-543(원흥관 1,3 E543 건축학과 세미나실),405-543(원흥관 1,3 E543 건축학과 세미나실)",3,3,0, 0.0,더블클릭,더블클릭,이론,외국어강의,,영어,,전공,,공과대학,공과대학 건축공학부 건축공학전공,,영어강의,Strength of Materials,
998,"1,2학년",전공,기초,ARC2024-01,건축열환경공학,양인호,서울,"화3.5-4.5/11:30-13:00,목1.5-2.5/09:30-11:00","405-543(원흥관 1,3 E543 건축학과 세미나실),405-543(원흥관 1,3 E543 건축학과 세미나실)",3,3,0, 0.0,더블클릭,더블클릭,이론,일반강의,,,,전공,,공과대학,공과대학 건축공학부 건축공학전공,,,Architectural Thermal Environment Engineering,
999,"1,2학년",전공,기초,ARC2026-01,어드벤처디자인,성은희,서울,월9.0-11.5/17:00-19:40,"405-543(원흥관 1,3 E543 건축학과 세미나실)",3,3,0, 3.0,더블클릭,더블클릭,이론,일반강의,,,,전공,,공과대학,공과대학 건축공학부 건축공학전공,,,Adventure Design ,
1000,1학년,전공,기초,ARD2010-01,표현기법,한광야,서울,화8.0-13.5/16:00-21:30,"405-409(원흥관 1,3 F409 건축설계 Studio 5)",3,0,6,,더블클릭,더블클릭,실습,일반강의,,,,전공,,공과대학,공과대학 건축공학부 건축학전공,,,Visual Representation,
1001,1학년,전공,기초,ARD2010-02,표현기법,백성진,서울,화1.5-7.0/09:30-15:30,"405-411(원흥관 1,3 F411 건축설계 Studio 4)",3,0,6,,더블클릭,더블클릭,실습,일반강의,,,,전공,,공과대학,공과대학 건축공학부 건축학전공,,팀티칭,Visual Representation,
1002,1학년,전공,기초,ARD2010-03,표현기법,신윤석,서울,화8.0-13.5/16:00-21:30,"405-415(원흥관 1,3 F415 건축설계 Studio 1)",3,0,6,,더블클릭,더블클릭,실습,일반강의,,,,전공,,공과대학,공과대학 건축공학부 건축학전공,,,Visual Representation,
1003,2학년,전공,기초,ARD2013-01,건축과사회,이명식,서울,"월2.0-3.0/10:00-11:30,금5.0-6.0/13:00-14:30","405-541(원흥관 1,3 E541 강의실),405-541(원흥관 1,3 E541 강의실)",3,3,0,,더블클릭,더블클릭,이론,외국어강의,,영어,,전공,,공과대학,공과대학 건축공학부 건축학전공,,영어강의,Social Syntax and Configuration,
1004,2학년,전공,기초,ARD2017-01,건축기술1,윤홍연,서울,목5.0-7.5/13:00-16:00,"405-541(원흥관 1,3 E541 강의실)",3,3,0,,더블클릭,더블클릭,이론,일반강의,,,,전공,,공과대학,공과대학 건축공학부 건축학전공,,,Building Technics I,
1005,1학년,전공,기초,ARD2022-01,건축CAD,황영미,서울,월1.5-5.0/09:30-13:30,"405-318(원흥관 1,3 F318 (F) 공용컴퓨터실)",3,2,2,,더블클릭,더블클릭,이론+실습,일반강의,,,,전공,,공과대학,공과대학 건축공학부 건축학전공,,,Architectural CAD,
1006,2학년,전공,기초,ARD2023-01,건축설계1,김정아,서울,목8.0-13.5/16:00-21:30,"405-409(원흥관 1,3 F409 건축설계 Studio 5)",3,0,6,,더블클릭,더블클릭,실습,일반강의,,,,전공,,공과대학,공과대학 건축공학부 건축학전공,,,Architectural Design I,
1007,2학년,전공,기초,ARD2023-02,건축설계1,황연숙,서울,목8.0-13.5/16:00-21:30,"405-411(원흥관 1,3 F411 건축설계 Studio 4)",3,0,6,,더블클릭,더블클릭,실습,일반강의,,,,전공,,공과대학,공과대학 건축공학부 건축학전공,,,Architectural Design I,
1008,2학년,전공,기초,ARD2023-03,건축설계1,오세범,서울,목8.0-13.5/16:00-21:30,"405-415(원흥관 1,3 F415 건축설계 Studio 1)",3,0,6,,더블클릭,더블클릭,실습,일반강의,,,,전공,,공과대학,공과대학 건축공학부 건축학전공,,,Architectural Design I,
1009,"1,2학년",전공,기초,ASI2006-01,입체공연음향제작실습1,김영민,서울,금2.0-4.5/10:00-13:00,102-243(학술/문화관 K243 243 강의실_스마트),3,0,3,,더블클릭,더블클릭,실습,일반강의,,,,전선,,연계전공,연계전공 문화예술소프트웨어,,,Spatial Sound Design for Theatrical Production 1,
1010,1학년,전공,기초,ASW2004-01,어드벤처디자인,신연순,서울,"화5.0-6.5/13:00-15:00,목5.0-6.5/13:00-15:00","405-325(원흥관 1,3 E325 원흥 PBL),405-325(원흥관 1,3 E325 원흥 PBL)",3,2,2,,더블클릭,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,,Adventure Design ,
1011,1학년,전공,기초,ASW2004-02,어드벤처디자인,임상수,서울,"월2.0-3.5/10:00-12:00,수2.0-3.5/10:00-12:00","407-224(정보문화관P P403 컴퓨터실습실2),407-224(정보문화관P P403 컴퓨터실습실2)",3,2,2,,더블클릭,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,수강정원 45명,Adventure Design ,
1012,1학년,전공,기초,ASW2004-03,어드벤처디자인,조성인,서울,화4.5-8.0/12:30-16:30,401-4147(신공학관(기숙사) 4147 강의실_스마트),3,2,2,,더블클릭,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,,Adventure Design ,
1013,2학년,전공,기초,ASW2005-01,자료구조,전주은,서울,"수2.0-3.5/10:00-12:00,금2.0-3.5/10:00-12:00","401-4105(신공학관(기숙사) 4105 멀티미디어공학과 실습실),401-4105(신공학관(기숙사) 4105 멀티미디어공학과 실습실)",3,2,2,,더블클릭,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,,Data Structure,
1014,2학년,전공,기초,ASW2005-02,자료구조,윤인식,서울,"화2.0-3.5/10:00-12:00,목2.0-3.5/10:00-12:00","407-207(정보문화관P P402 컴퓨터실습실1),407-207(정보문화관P P402 컴퓨터실습실1)",3,2,2,,더블클릭,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,수강정원 40명,Data Structure,
1015,"1,2학년",전공,기초,ASW2007-01,프로그래밍기초,박재철,서울,"수9.0-10.5/17:00-18:50,목9.0-10.5/17:00-18:50","401-3183(신공학관(기숙사) 3183 컴퓨터공학 실습실2),401-3183(신공학관(기숙사) 3183 컴퓨터공학 실습실2)",3,2,2,,더블클릭,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,,Programming Fundamentals,
1016,"1,2학년",전공,기초,ASW2007-02,프로그래밍기초,한인,서울,"월6.0-7.5/14:00-16:00,수7.0-8.5/15:00-17:00","401-6119(신공학관(기숙사) 6119 컴퓨터공학 실습실1(ESC4)),401-6119(신공학관(기숙사) 6119 컴퓨터공학 실습실1(ESC4))",3,2,2,,더블클릭,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,수강정원 40명,Programming Fundamentals,
1017,"1,2학년",전공,기초,ASW2007-03,프로그래밍기초,김시명,서울,"수9.0-10.5/17:00-18:50,목2.0-3.5/10:00-12:00","401-3182(신공학관(기숙사) 3182 컴퓨터공학 실습실3),401-3182(신공학관(기숙사) 3182 컴퓨터공학 실습실3)",3,2,2,,더블클릭,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,,Programming Fundamentals,
1018,"1,2학년",전공,기초,ASW2007-04,프로그래밍기초,강태선,서울,"화7.0-8.5/15:00-17:00,금6.0-7.5/14:00-16:00","401-3182(신공학관(기숙사) 3182 컴퓨터공학 실습실3),401-3182(신공학관(기숙사) 3182 컴퓨터공학 실습실3)",3,2,2,,더블클릭,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,,Programming Fundamentals,
1019,"1,2학년",전공,기초,ASW2008-01,심화프로그래밍,조성인,서울,"화2.0-3.5/10:00-12:00,수7.0-8.5/15:00-17:00","401-4105(신공학관(기숙사) 4105 멀티미디어공학과 실습실),401-4105(신공학관(기숙사) 4105 멀티미디어공학과 실습실)",3,2,2,,더블클릭,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,,Advanced Programming,
1020,"1,2학년",전공,기초,ASW2008-02,심화프로그래밍,윤성림,서울,"화2.0-3.5/10:00-12:00,수2.0-3.5/10:00-12:00","401-3183(신공학관(기숙사) 3183 컴퓨터공학 실습실2),401-6119(신공학관(기숙사) 6119 컴퓨터공학 실습실1(ESC4))",3,2,2,,더블클릭,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,수강정원 30명,Advanced Programming,
1021,"1,2학년",전공,기초,ASW2008-03,심화프로그래밍,윤성림,서울,"화5.0-6.5/13:00-15:00,수5.0-6.5/13:00-15:00","401-3182(신공학관(기숙사) 3182 컴퓨터공학 실습실3),401-3182(신공학관(기숙사) 3182 컴퓨터공학 실습실3)",3,2,2,,더블클릭,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,수강정원 30명,Advanced Programming,
1022,"1,2학년",전공,기초,ASW2009-01,객체지향프로그래밍,윤인식,서울,"화5.0-6.5/13:00-15:00,목5.0-6.5/13:00-15:00","407-207(정보문화관P P402 컴퓨터실습실1),407-207(정보문화관P P402 컴퓨터실습실1)",3,2,2,,더블클릭,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,수강정원 40명,Object-Oriented Programming,
1023,"1,2학년",전공,기초,ASW2009-03,객체지향프로그래밍,박재철,서울,"수7.0-8.5/15:00-17:00,목7.0-8.5/15:00-17:00","401-3183(신공학관(기숙사) 3183 컴퓨터공학 실습실2),401-3182(신공학관(기숙사) 3182 컴퓨터공학 실습실3)",3,2,2,,더블클릭,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,,Object-Oriented Programming,
1024,"1,2학년",전공,기초,ASW2009-04,객체지향프로그래밍,석문기,서울,"화8.0-9.5/16:00-18:00,금8.0-9.5/16:00-18:00","401-6119(신공학관(기숙사) 6119 컴퓨터공학 실습실1(ESC4)),401-6119(신공학관(기숙사) 6119 컴퓨터공학 실습실1(ESC4))",3,2,2,,더블클릭,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,,Object-Oriented Programming,
1025,"1,2학년",전공,기초,ASW2010-01,융합기초프로그래밍,성연식,서울,"월2.0-3.5/10:00-12:00,목7.0-8.5/15:00-17:00","401-4105(신공학관(기숙사) 4105 멀티미디어공학과 실습실),401-4105(신공학관(기숙사) 4105 멀티미디어공학과 실습실)",3,2,2,,더블클릭,더블클릭,이론+실습,외국어강의,,영어,,전공,,AI융합대학,AI융합대학 AI융합대,,"영어강의, 수강정원 50명",Convergence basic programming,
1026,"1,2학년",전공,기초,ASW2010-02,융합기초프로그래밍,임상수,서울,"화7.0-8.5/15:00-17:00,목7.0-8.5/15:00-17:00","407-207(정보문화관P P402 컴퓨터실습실1),407-207(정보문화관P P402 컴퓨터실습실1)",3,2,2,,더블클릭,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,수강정원 40명,Convergence basic programming,
1027,"1,2학년",전공,기초,ASW2010-03,융합기초프로그래밍,장혜령,서울,"월7.0-8.5/15:00-17:00,수7.0-8.5/15:00-17:00","407-207(정보문화관P P402 컴퓨터실습실1),407-207(정보문화관P P402 컴퓨터실습실1)",3,2,2,,더블클릭,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,"수강정원 40명, 혁신교수법(플립드러닝)",Convergence basic programming,
1028,1학년,전공,기초,BES2001-01,바이오환경과학1,강호덕,일산,"월1.0-2.0/09:00-10:30,수1.0-2.0/09:00-10:30","1104-227(상영바이오관 227 강의실_스마트),1104-227(상영바이오관 227 강의실_스마트)",3,3,0,,더블클릭,더블클릭,이론,팀티칭,,,,전공,,바이오시스템대학,바이오시스템대학 바이오환경과학과,,팀티칭,Biological and Environmental Science 1,
1029,2학년,전공,기초,BES2003-01,유기화학,강규영,일산,화7.0-9.5/15:00-18:00,1104-230(상영바이오관 230 허담 강의실),3,3,0,,더블클릭,더블클릭,이론,일반강의,,,,전공,,바이오시스템대학,바이오시스템대학 바이오환경과학과,,,Organic Chemistry,
1030,2학년,전공,기초,BES2004-01,환경교육및실습,윤화영,일산,월5.0-8.5/13:00-17:00,1104-301(상영바이오관  지속가능환경시스템실습실),3,1,3,,더블클릭,더블클릭,이론+실습,일반강의,,,,전공,,바이오시스템대학,바이오시스템대학 바이오환경과학과,,,Environmental Education and Practice,
1031,2학년,전공,기초,BES2005-01,천연고분자화학및실험,강규영,일산,"수5.0-5.5/13:00-14:00,수6.0-8.5/14:00-17:00","1104-208(상영바이오관 208 장전 강의실_스마트),1104-249(상영바이오관 249 바이오환경과학과 전공 실습실)",3,1,3,,더블클릭,더블클릭,이론+실습,일반강의,,,,전공,,바이오시스템대학,바이오시스템대학 바이오환경과학과,,16명제한,Natural Polymer Chemistry and Lab.,
1032,"2,3학년",전공,기초,BES2006-01,환경화학,조시경,일산,"화1.0-2.0/09:00-10:30,목1.0-2.0/09:00-10:30","1104-205(상영바이오관 205 농학과후배사랑 강의실),1104-205(상영바이오관 205 농학과후배사랑 강의실)",3,3,0,,더블클릭,더블클릭,이론,외국어강의,,영어,,전공,,바이오시스템대학,바이오시스템대학 바이오환경과학과,,영어강의,Environmental Chemistry,
1033,2학년,전공,기초,BES2014-01,지구환경과바이오재료,양봉숙,일산,"화5.0-6.0/13:00-14:30,목5.0-6.0/13:00-14:30","1104-205(상영바이오관 205 농학과후배사랑 강의실),1104-205(상영바이오관 205 농학과후배사랑 강의실)",3,3,0,,더블클릭,더블클릭,이론,일반강의,,,,전공,,바이오시스템대학,바이오시스템대학 바이오환경과학과,,,Global Environment and Biomaterials,
1034,2학년,전공,기초,BES2016-01,연구논문지도1,강호덕,일산,목2.5-4.0/10:30-12:30,1104-205(상영바이오관 205 농학과후배사랑 강의실),2,2,0,,더블클릭,더블클릭,이론,일반강의,,,,전공,,바이오시스템대학,바이오시스템대학 바이오환경과학과,,P/F,Research and Thesis 1,
1035,2학년,전공,기초,BES2018-01,바이오환경과학진로탐구,오충현,일산,수2.5-4.0/10:30-12:30,1104-845(상영바이오관 845 세미나실1(고양캠퍼스)),2,2,0,,더블클릭,더블클릭,이론,일반강의,,,,전공,,바이오시스템대학,바이오시스템대학 바이오환경과학과,,,Job Search on Biological and Environmental Science,
1036,2학년,전공,기초,BIO2006-01,유전학,정상민,일산,"월1.0-2.0/09:00-10:30,수1.0-2.0/09:00-10:30","1104-222(상영바이오관 222 강의실),1104-222(상영바이오관 222 강의실)",3,3,0,,더블클릭,더블클릭,이론,일반강의,,,,전공,,바이오시스템대학,바이오시스템대학 생명과학과 ,,,Genetics,
1037,2학년,전공,기초,BIO2010-01,생화학,서태근,일산,"월2.5-3.5/10:30-12:00,수2.5-3.5/10:30-12:00","1104-222(상영바이오관 222 강의실),1104-222(상영바이오관 222 강의실)",3,3,0,,더블클릭,더블클릭,이론,일반강의,,,,전공,,바이오시스템대학,바이오시스템대학 생명과학과 ,,,Biochemistry,
1038,2학년,전공,기초,BIO2019-01,미생물학,서태근,일산,"월6.5-7.5/14:30-16:00,수6.5-7.5/14:30-16:00","1104-222(상영바이오관 222 강의실),1104-222(상영바이오관 222 강의실)",3,3,0,,더블클릭,더블클릭,이론,일반강의,,,,전공,,바이오시스템대학,바이오시스템대학 생명과학과 ,,,Microbiology,
1039,2학년,전공,기초,BIO2020-01,식물조직배양학및실험,김경희,일산,목6.5-11.0/14:30-19:15,1104-245(상영바이오관 245 생명과학과 전공 실습실),3,1,4,,더블클릭,더블클릭,이론+실습,일반강의,,,,전공,,바이오시스템대학,바이오시스템대학 생명과학과 ,,,Plant Tissue Culture & Laboratory,
1040,2학년,전공,기초,BIO2021-01,생명과학전공실험1,서태근,일산,금5.0-9.5/13:00-18:00,1104-245(상영바이오관 245 생명과학과 전공 실습실),3,1,4,,더블클릭,더블클릭,이론+실습,팀티칭,,,,전공,,바이오시스템대학,바이오시스템대학 생명과학과 ,,팀티칭,Team Experiments for Life Science I,
1041,2학년,전공,기초,BIO2026-01,생명과학최신동향,김병혁,일산,금3.0-4.5/11:00-13:00,1104-222(상영바이오관 222 강의실),2,2,0,,더블클릭,더블클릭,이론,팀티칭,,,,전공,,바이오시스템대학,바이오시스템대학 생명과학과 ,,팀티칭,Current trend on Life Science,
1042,1학년,전공,기초,BIS2001-01,불교학입문,신성현(普圓),,"수5.5-6.5/13:30-15:00,목7.0-8.0/15:00-16:30","303-251(법학/만해관 B255 강의실_스마트),303-251(법학/만해관 B255 강의실_스마트)",3,3,0,,더블클릭,더블클릭,이론,일반강의,,,,전공,,불교대학,불교대학 불교학부,,수강정원 50명 팀티칭,Introduction to Buddhist Studies,
1043,1학년,전공,기초,BIS2001-02,불교학입문,허남결(월인(月印)),,"화4.0-5.0/12:00-13:30,목4.0-5.0/12:00-13:30","303-251(법학/만해관 B255 강의실_스마트),303-251(법학/만해관 B255 강의실_스마트)",3,3,0,,더블클릭,더블클릭,이론,일반강의,,,,전공,,불교대학,불교대학 불교학부,,수강정원 50명,Introduction to Buddhist Studies,
1044,1학년,전공,기초,BIS2002-01,불교의수행과신행,서왕모(정도),,"월2.5-3.5/10:30-12:00,수2.5-3.5/10:30-12:00","303-254(법학/만해관 B256 강의실_스마트),303-254(법학/만해관 B256 강의실_스마트)",3,3,0,,더블클릭,더블클릭,이론,일반강의,,,,전공,,불교대학,불교대학 불교학부,,,The Buddhist Meditation and Regional Practice,
1045,2학년,전공,기초,BIS2006-01,불교한문,양용선(승행),,"화7.0-8.0/15:00-16:30,목7.0-8.0/15:00-16:30","307-115(명진관 A115 강의실_스마트),307-115(명진관 A115 강의실_스마트)",3,3,0,,더블클릭,더블클릭,이론,일반강의,,,,전공,,불교대학,불교대학 불교학부,,,Buddhist Classical Chinese,
1046,2학년,전공,기초,BIS2008-01,인도불교사,김경래(지욱),,"월3.5-4.5/11:30-13:00,수3.5-4.5/11:30-13:00","207-315(혜화관 315 315 강의실),207-315(혜화관 315 315 강의실)",3,3,0,,더블클릭,더블클릭,이론,외국어강의,,영어,,전공,,불교대학,불교대학 불교학부,,영어강의,History of Indian Buddhism,
1047,2학년,전공,기초,BIS2009-01,인도선사상,박청환(정덕),,"월2.5-3.5/10:30-12:00,수2.5-3.5/10:30-12:00","303-211(법학/만해관 B263 강의실),303-211(법학/만해관 B263 강의실)",3,3,0,,더블클릭,더블클릭,이론,외국어강의,,영어,,전공,,불교대학,불교대학 불교학부,,수강정원 35명 / 영어강의,Indian Seon Thoughts,
1048,2학년,전공,기초,BIS2010-01,초기불교,황순일(보성),,"화3.0-4.0/11:00-12:30,수1.0-2.0/09:00-10:30","303-211(법학/만해관 B263 강의실),303-211(법학/만해관 B263 강의실)",3,3,0,,더블클릭,더블클릭,이론,외국어강의,,영어,,전공,,불교대학,불교대학 불교학부,,영어강의,Early Buddhism,
1049,2학년,전공,기초,BIS2012-01,중국불교사,손진(정완),,"화2.5-3.5/10:30-12:00,목5.5-6.5/13:30-15:00","303-251(법학/만해관 B255 강의실_스마트),303-251(법학/만해관 B255 강의실_스마트)",3,3,0,,더블클릭,더블클릭,이론,일반강의,,,,전공,,불교대학,불교대학 불교학부,,,History of Chinese Buddhism,
1050,2학년,전공,기초,BIS2013-01,한국불교사,고영섭,,"화2.5-3.5/10:30-12:00,목2.5-3.5/10:30-12:00","303-201(법학/만해관 B259 강의실_스마트),303-201(법학/만해관 B259 강의실_스마트)",3,3,0,,더블클릭,더블클릭,이론,일반강의,,,,전공,,불교대학,불교대학 불교학부,,,"History of Korean Buddhism, Korean Buddhism History",
1051,2학년,전공,기초,BIS2014-01,정토학,박상현(덕산),,화1.0-3.5/09:00-12:00,303-256(법학/만해관 B257 만해 PBL),3,3,0,,더블클릭,더블클릭,이론,일반강의,,,,전공,,불교대학,불교대학 불교학부,,,Study of Pureland-Buddhism,
1052,2학년,전공,기초,BIS2015-01,선과현대사회,정영희(다선화),,"월7.0-8.0/15:00-16:30,목2.5-3.5/10:30-12:00","303-251(법학/만해관 B255 강의실_스마트),303-251(법학/만해관 B255 강의실_스마트)",3,3,0,,더블클릭,더블클릭,이론,일반강의,,,,전공,,불교대학,불교대학 불교학부,,,Seon and Contemporary Society,
1053,2학년,전공,기초,BIS2020-01,자이나사상,최지연,,"월4.0-5.0/12:00-13:30,화4.0-5.0/12:00-13:30","303-206(법학/만해관 B261 강의실),303-206(법학/만해관 B261 강의실)",3,3,0,,더블클릭,더블클릭,이론,일반강의,,,,전공,,불교대학,불교대학 불교학부,,,Jainism,
1054,"1,2학년",전공,기초,BIS2027-01,승가수행학(I),신명희(정운),,금5.0-7.5/13:00-16:00,303-251(법학/만해관 B255 강의실_스마트),3,3,0,,더블클릭,더블클릭,이론,일반강의,,,,전공,,불교대학,불교대학 불교학부,,,Theory of Practice for Buddhist Shanga(Ⅰ),
1055,2학년,전공,기초,BIS2031-01,범어입문,류현정,,"화2.5-3.5/10:30-12:00,목2.5-3.5/10:30-12:00","303-254(법학/만해관 B256 강의실_스마트),303-254(법학/만해관 B256 강의실_스마트)",3,3,0,,더블클릭,더블클릭,이론,일반강의,,,,전공,,불교대학,불교대학 불교학부,,,Introduction to Sanskrit,
1056,"1,2학년",전공,기초,BIS2034-01,종교학개론,김경래(지욱),,"월2.0-3.0/10:00-11:30,수2.0-3.0/10:00-11:30","207-315(혜화관 315 315 강의실),207-315(혜화관 315 315 강의실)",3,3,0,,더블클릭,더블클릭,이론,일반강의,,,,전공,,불교대학,불교대학 불교학부,,,Introduction to Religious Studies,
1057,"1,2학년",전공,기초,BIS2036-01,불교문화의이해,한수진,,"수7.0-8.0/15:00-16:30,금7.0-8.0/15:00-16:30","303-201(법학/만해관 B259 강의실_스마트),303-201(법학/만해관 B259 강의실_스마트)",3,3,0,,더블클릭,더블클릭,이론,일반강의,,,,전공,,불교대학,불교대학 불교학부,,,Understanding of Buddhist Cultural Contents,
1058,"1,2학년",전공,기초,BIS2040-01,불교ㆍ법ㆍ경영,김한상(Sumana),,금1.0-3.5/09:00-12:00,303-104(법학/만해관 B163 강의실_스마트),3,3,0,,더블클릭,더블클릭,이론,팀티칭,,,,전공,,불교대학,불교대학 불교학부,,팀티칭,BuddhismㆍLawㆍManagement,
1059,"1,2학년",전공,기초,BIS2042-01,세방화시대영어와불교,문현공(혜원),,"월4.0-5.0/12:00-13:30,수4.0-5.0/12:00-13:30","303-251(법학/만해관 B255 강의실_스마트),303-251(법학/만해관 B255 강의실_스마트)",3,3,0,,더블클릭,더블클릭,이론,일반강의,,,,전공,,불교대학,불교대학 불교학부,,,Buddhism and English into the era of Globalization,
1060,"1,2학년",전공,기초,BME2004-01,공업수학,방석영,일산,"화2.5-3.5/10:30-12:00,목2.5-3.5/10:30-12:00","1104-208(상영바이오관 208 장전 강의실_스마트),1104-208(상영바이오관 208 장전 강의실_스마트)",3,3,0,,더블클릭,더블클릭,이론,일반강의,,,,전공,,바이오시스템대학,바이오시스템대학 의생명공학과,,,Industrial Mathematics,
